物件,價位/坪,總價,房間,位置
站前溫馨典雅輕屋齡華廈D372,26.36,,2房1廳1衛,花蓮市
後站5套房優質別墅17年屋您值得擁有,22.11,,5房3廳6衛,花蓮市
台灣郁淇🏆站前2房小資華廈,25.64,,2房1廳1衛,花蓮市
市區全新整理大露臺四房華廈-家有建國,17.63,,4房2廳2衛,花蓮市
中正國小學區~亮麗三房,20.28,,3房2廳2衛,花蓮市
有巢氏小涵 近東大門雙面路12米寬金店面,30.28,,6房3廳8衛,花蓮市
杜編織美~~~美崙中興路三房低總價健康宅,14.31,,3房2廳2衛,花蓮市
近吉安行政區~福興好規劃超值店住🏡,16.58,,1房2廳3衛,吉安鄉
市區大郵局溫馨美透天,34.69,,3房2廳3衛,花蓮市
壽豐東華大學美美農舍,54.97,,4房3廳5衛,壽豐鄉
專售-知卡宣公園前庭後院大別墅,21.09,,6房2廳6衛,吉安鄉
市區大地坪透天-14套房-滿租中,46.33,,14房14衛,花蓮市
有巢育菁[近慈濟大學×地34坪x 邊間],31.29,,4房2廳2衛,花蓮市
站前全新清新絕美山景美華廈D325,21.14,,2房2廳2衛,花蓮市
不只稀有，值得典藏，擁抱花蓮好山綠水。,74.67,,7房3廳9衛,花蓮市
花蓮富里❤️近小七統冠❤️優質透天,20.77,,3房2廳2衛,富里鄉
東華大學旁~透天厝,18.12,,7房1廳2衛,壽豐鄉
後站極美倉儲巧別墅,27.57,,4房2廳3衛,花蓮市
花蓮市在明星學區古早味透天,20.69,,4房2廳2衛,花蓮市
台灣郁淇🏆北昌孝親別墅,24.31,,4房2廳3衛,吉安鄉
後站平面車位華廈只要598萬！好便宜,20.43,,2房2廳1衛,花蓮市
專任-上美崙附小學區超優質華廈D387,20.55,,3房2廳2衛,花蓮市
(售出)吉安慶豐涵碧城孝親房別墅,22,,5房2廳3衛,吉安鄉
有巢育菁[近慈濟大學×地34坪x 邊間],31.29,,4房2廳2衛,花蓮市
東華大學包租透天住店,34.46,,4房1廳5衛,壽豐鄉
市區高樓層景觀邊間小家庭優質華廈,24.19,,2房1廳2衛,花蓮市
悠活農舍--田園景觀電梯型農舍,55.49,,4房3廳6衛,吉安鄉
"近慈濟精舍,營區,套房價買可停車透天.",15.37,,開放式格局,新城鄉
北埔老宅新莊綠景邊間別墅,30.63,,2房3廳3衛,新城鄉
市區國風學區莊園獨棟面寬別墅,33.25,,6房2廳5衛,花蓮市
悠活專任--商校雙併頂級民宿型別墅,31,,5房1廳5衛,花蓮市
悠活專任-頂級豪宅,36.24,,6房4廳4衛,壽豐鄉
獨家專售-邊間大坪數通風採光優別墅,26.08,,4房2廳5衛,花蓮市
河畔景觀華廈🚗(平面車位)🚗,21.68,,3房2廳2衛,花蓮市
美崙晶華凱悅奢華百坪綠景樹海雙幸福居,25.75,,4房3廳3衛,花蓮市
獨家南京街大坪數3樓健康宅已售出,12.65,,3房2廳2衛,花蓮市
永慶小花~~花蓮後站五套房美美別墅,22.43,,5房2廳6衛,花蓮市
永慶小花：花蓮市蛋黃區低樓層三房健康宅,23.62,,3房2廳2衛,花蓮市
市區-雙車庫孝親5房邊間優質別墅D005,31.49,,5房2廳4衛,花蓮市
專任💯花蓮車站國聯商圈兩房@永慶民視店,25.82,,2房1廳1衛,花蓮市
市區~香榭大道旁~透天厝,34.21,,3房2廳4衛,花蓮市
專賣~美崙看海大四房福容飯店旁現住美華廈,16,,4房2廳3衛,花蓮市
永慶小花~~忠孝中正國風學區三房帶平車,18.08,,3房2廳2衛,花蓮市
吉安慈惠區優質電梯別墅D015,30.98,,4房2廳5衛,吉安鄉
悠活精選--來花蓮度假的好房子,24,,1房1廳1衛,花蓮市
悠活精選--太昌五套房好別墅,21.19,,5房2廳6衛,吉安鄉
太昌雙併全新超值別墅,25.32,,4房2廳5衛,吉安鄉
悠活精選--國稅局旁電梯型頂級別墅,40.72,,5房2廳6衛,花蓮市
💛南埔*有車庫*孝親房*後花園*別墅,29.78,,4房2廳4衛,吉安鄉
吉安慶豐698萬稀有鋼骨平房建地,39.77,,1房1廳1衛,吉安鄉
中山林森路商業區三房住辦,25.63,,3房2廳2衛,花蓮市
獨家專售➥ ➦ 北昌四房438萬居家公寓,16.03,,4房1廳2衛,花蓮市
東大門夜市旁賺錢飯店,23.31,,35房1廳35衛,花蓮市
💛吉安近黃昏市場全新二房二衛超低公設,29.36,,2房2廳2衛,吉安鄉
💛後站雙戶大路寬機能別墅💛,26.46,,4房2廳6衛,花蓮市
太昌三角市場郵局旁六房好住家,48.76,,6房3廳3衛,吉安鄉
MJ築夢~吉安雙棟大地坪農舍--可做民宿,11.32,,10房4廳6衛,吉安鄉
台灣郁淇🏆全新花商一房一廳華廈,28.13,,1房1廳1衛,花蓮市
市區京品優質華廈溫馨美裝潢歡迎賞屋,35.67,,3房2廳2衛,花蓮市
🍎永慶富國🍎福興低總價原味稀有透天,18.15,,3房2廳2衛,吉安鄉
碧雲莊慈濟商圈優美新別墅,27.5,,4房2廳5衛,吉安鄉
已售出站前全新2房華廈有平面車位送3坪,31.48,,2房1廳1衛,花蓮市
美崙超美3房優質華廈,16.46,,3房2廳2衛,花蓮市
住商悠活專任-壽豐大木屋,18.5,,4房3廳4衛,壽豐鄉
悠活專任-東華大學退休庭園宅,29.67,,2房2廳2衛,壽豐鄉
德安美食商圈溫馨3房透天,32.67,,3房2廳2衛,花蓮市
南埔邊間孝親別墅三套房大後院,30,,4房2廳4衛,吉安鄉
北昌孝親面寬大別墅優質原味屋,23.67,,5房3廳2衛,吉安鄉
永慶小花專售【後站極少釋出一手美別墅】,22.93,,4房3廳4衛,花蓮市
＊永慶鄭小花＊壽豐平和百坪角地含稅籍建物,10.63,,開放式格局,壽豐鄉
台灣郁淇🏆商校全新2房車位華廈,27.12,,2房2廳2衛,花蓮市
🐘🐘七腳川溪旁挑高花園別墅,30.3,,5房2廳3衛,吉安鄉
★獨家★花蓮北埔國小旁稀有透天UC286,20.99,,3房2廳1衛,新城鄉
🏡市區低總價全新整理三房景觀電梯華廈,21.21,,3房2廳2衛,花蓮市
獨家專賣~高樓層~套房~京品飯店式大樓,33.59,,1房1廳1衛,花蓮市
花蓮玉里火車站車庫透天,15.37,,5房1廳4衛,玉里鎮
五年屋雙車位精緻豪宅電梯別墅,30.98,,4房2廳5衛,吉安鄉
市區後車站慈濟醫院稀有別墅錯過可惜,27.57,,4房3廳3衛,花蓮市
吉安分局車位三房【台灣大為推薦】,19.95,,3房2廳2衛,吉安鄉
超美裝潢3房附車位華廈,21,,3房2廳2衛,花蓮市
後站稀有釋出美墅,27.57,,4房2廳3衛,花蓮市
台灣郁淇🏆商校全新2房車位華廈,27.12,,2房2廳2衛,花蓮市
正市區角間漂亮裝潢透天店住,32.8,,4房2廳5衛,花蓮市
🏆台灣郁淇推薦#美崙原屋況透天,29.34,,4房2廳2衛,花蓮市
【獨家專售】美崙千坪公園二房三陽台華廈,21.93,,2房2廳1衛,花蓮市
【大降價出清】市區海景三房～有車位美廈,21,,3房2廳2衛,花蓮市
【奢華】東華大學～4套房～庭園造景大農舍,54.89,,4房3廳5衛,壽豐鄉
有巢氏康雅庭-慈濟學區預售日式宅,27.91,,4房2廳4衛,花蓮市
美崙翰品酒店前健康三房台灣大為推薦,22.98,,3房2廳2衛,花蓮市
北昌村７套房別墅【台灣大為推薦】,31.57,,7房2廳7衛,花蓮市
花蓮後火站全新社區型車庫庭院別墅,24.79,,4房2廳5衛,花蓮市
市區大郵局全新2房台灣大為推薦,27.89,,2房2廳2衛,花蓮市
站前時尚大套房【台灣大為】,28.24,,1房1廳1衛,花蓮市
鳳林全新整理獨棟別墅-宏宇,37.31,,4房2廳2衛,鳳林鎮
吉安行政特區～高機能別墅,25.46,,6房2廳6衛,吉安鄉
吉安東海大地坪別墅【台灣大為】,19.88,,5房2廳3衛,吉安鄉
七星潭-海景-民宿住宅,32.24,,13房3廳15衛,新城鄉
美崙之星翰品酒店旁商業區店面,30.71,,4房2廳2衛,花蓮市
💯玉玲專賣林森路台銀旁雙併全新電梯別墅,42.43,,3房2廳4衛,花蓮市
03173華工美墅【工業住宅】,25.12,,4房2廳5衛,吉安鄉
【台灣大為推薦】海景歐風三房~車位可另購,22.35,,3房2廳2衛,花蓮市
【台灣大為推薦】市區無敵海景車位三房,21.58,,3房2廳2衛,花蓮市
花蓮市8套房邊間有車位-大店住UB328,25.37,,8房4廳8衛,花蓮市
吉安美式風格溫馨美農舍,36.6,,4房2廳4衛,吉安鄉
北昌三房機能佳三房,17.56,,3房2廳1衛,花蓮市
進豐街全新華廈含平面車位 756萬,27.09,,2房1廳2衛,花蓮市
"🍎永慶富國🍎吉安車站一,二樓華廈",22.85,,3房2廳3衛,吉安鄉
花蓮新城七星潭潭風景區民宿,41.05,,38房3廳38衛,新城鄉
花蓮站前商圈景觀大套房,21.5,,1房1衛,花蓮市
慈濟人文天地雙車庫別墅,17.01,,4房2廳3衛,花蓮市
美崙公園有孝親房透天【台灣大為推薦】,29.38,,4房2廳2衛,花蓮市
【台灣大為推薦】市區有車位兩房,19.61,,2房2廳2衛,花蓮市
[專任]美崙文教區民孝國宅華廈,12.3,,3房2廳2衛,花蓮市
專售~花蓮市中華國小超低公設明亮建康屋,13.64,,3房2廳1衛,花蓮市
最後4戶，美崙全新3房預售華廈,25.5,,3房2廳2衛,花蓮市
專任-市區低總價全新整理三房景觀電梯華廈,21.21,,3房2廳2衛,花蓮市
🏡吉安莊園6房農舍,21.8,,6房3廳3衛,吉安鄉
超值農舍～壽豐忠孝全新整理遼闊視野美農舍,27.65,,5房3廳5衛,壽豐鄉
全台最美~東安社區涵清莊百坪美式大別墅,20.08,,6房3廳4衛,壽豐鄉
🍎永慶富國🍎光復糖廠旁邊間稀有別墅 ,68.99,,14房4廳15衛,光復鄉
後站公園旁大三房華廈【台灣大為推薦】,19.96,,3房2廳2衛,花蓮市
大膽出黃昏市場店住兩用大地坪別墅祥泰推薦,17.09,,6房2廳5衛,吉安鄉
吉安福興原屋況四房低總價車庫別墅,21.21,,4房2廳3衛,吉安鄉
花蓮站前邊間兩房小資華廈,25.64,,2房1廳1衛,花蓮市
美崙海景第一排溫馨小資兩房,25.08,,2房2廳1衛,花蓮市
專任-美崙出租高收益套房,20.14,,1房1廳1衛,花蓮市
👍推薦🏡花蓮縣吉安行政區輕屋齡店住,19.71,,5房2廳5衛,吉安鄉
低總價。近家樂福佳林社區。有車庫三房透天,34.07,,3房2廳3衛,新城鄉
飯店式24小時管理三房華廈-家有建國,35.67,,3房2廳2衛,花蓮市
市區京品飯店式管理3房華廈,35.67,,3房2廳2衛,花蓮市
🍎永慶富國🍎吉安面寬大地坪邊間別墅,24.3,,7房2廳4衛,吉安鄉
有巢氏康雅庭後站大地坪車庫別墅,32.11,,4房2廳5衛,花蓮市
台灣大為推薦#北昌溫馨三房~有車位承租,23.49,,3房2廳2衛,花蓮市
吉安南埔別墅,26.19,,4房2廳3衛,吉安鄉
專任-慈惠大露台經典車庫別墅B280,23.57,,5房2廳4衛,吉安鄉
北昌室內30坪三房華廈#台灣大為推薦,22,,3房2廳2衛,吉安鄉
永慶-Tina*月來月好海景莊園,56.19,,7房2廳8衛,豐濱鄉
【小安】正十米莊敬路大地坪50買地送透天,41.49,,開放式格局,花蓮市
美崙縣政府旁~面寬原屋店面,20.8,,開放式格局,花蓮市
吉安圖書館面寬雙併別墅,28.45,,5房2廳2衛,吉安鄉
瑞穗市區屋況好棒棒透天C023,17.3,,5房2廳6衛,瑞穗鄉
【台灣大為推薦】市區海景有車位大套房,23,,1房1廳1衛,花蓮市
前站邊間社區別墅,29.62,,4房2廳3衛,花蓮市
超蛋黃區~景觀美麗三房,25.63,,3房2廳2衛,花蓮市
李安迪推薦-上美崙稀有大空間美屋花中門諾,22.16,,3房2廳2衛,花蓮市
專賣💖站前小資最愛時尚新穎收租自住兩房,25.36,,2房2廳1衛,花蓮市
專賣~美崙四房屋況佳有管理美華廈,17.88,,4房2廳2衛,花蓮市
台灣郁淇🏆後站舒適別墅,27.57,,4房2廳3衛,花蓮市
壽豐忠孝全新整理優美農舍,27.65,,5房3廳5衛,壽豐鄉
悠活專任-站前收租13套房小旅宿,25.49,,13房13衛,花蓮市
悠活精選-河畔七套房電梯別墅,27.66,,7房2廳8衛,吉安鄉
李安迪推薦-站前花商大坪數5房華廈,21.13,,5房2廳2衛,花蓮市
後站四房輕屋齡前後陽台車庫別墅,27.56,,4房2廳4衛,花蓮市
吉安北昌大地坪宅有車庫花園孝親房,24.31,,4房2廳3衛,吉安鄉
【專任】吉安低價1樓2房華廈,19.99,,2房1廳1衛,吉安鄉
明義國小旁稀有大坪數華廈(open),20.48,,開放式格局,花蓮市
花蓮-國風學區高樓層景觀邊間2房優質華廈,24.2,,2房1廳2衛,花蓮市
花蓮-碧雲莊全新整理面寬絕美透天,29.95,,2房3廳3衛,花蓮市
後站-慈濟商圈稀有面寬邊間別墅「誠售」,35.07,,5房2廳2衛,花蓮市
北昌一層兩戶全新整理美華廈「有承租車位」,23.94,,3房2廳1衛,花蓮市
永慶-Tina*光復~田園小宅,8.77,,3房2廳2衛,光復鄉
台灣郁淇推薦🏆後站富裕京品大套房,28.45,,1房1廳1衛,花蓮市
前站輕屋齡2房美華廈,26.39,,2房2廳1衛,花蓮市
花蓮出售住宅,17.98,,4房2廳2衛,花蓮市
🍎永慶富國🍎吉安仁里小邊間別墅,28.78,,3房2廳3衛,吉安鄉
花蓮日出香榭超美山海景 高樓層優質華廈,35.46,,3房2廳2衛,花蓮市
🍎永慶富國🍎市區便宜別墅,27.33,,6房2廳3衛,花蓮市
吉安仁里鬧區旁大坪數五房店住,15.23,,5房3廳6衛,吉安鄉
中原中正國小雙學區寬敞公寓,17.43,,3房2廳1衛,花蓮市
🍎永慶富國🍎市中心便宜透天,31.27,,2房2廳1衛,花蓮市
🍎永慶富國🍎市中心便宜透天,31.27,,2房2廳1衛,花蓮市
奢華的房源樸實的價位,21.88,,3房1廳2衛,花蓮市
李安迪推薦-極新景觀電梯別墅七套,27.85,,7房2廳8衛,吉安鄉
有巢氏美崙看海電梯華廈最後一席,28.01,,2房2廳2衛,花蓮市
🏆台灣郁淇推薦#市區全新兩房華廈,26.48,,2房2廳2衛,花蓮市
降價囉🏆台灣郁淇#市區看海三房華廈,20.64,,3房2廳2衛,花蓮市
學區精美兩房華廈,25.65,,2房1廳1衛,花蓮市
優~~花蓮碧雲莊慈濟商圈5房車庫別墅,21.92,,5房2廳3衛,花蓮市
售出美崙化道路千坪公園前兩房華廈祥泰推薦,23.45,,2房1廳1衛,花蓮市
太昌路~全新完工別墅,26.04,,4房2廳5衛,吉安鄉
吉安永興屋新四套房別墅D018,24.77,,4房2廳5衛,吉安鄉
🏆台灣郁淇推薦#南埔孝親4房透天,29.79,,4房2廳4衛,吉安鄉
🏆台灣郁淇#市區超美三房華廈,22.42,,3房2廳2衛,花蓮市
🍎永慶富國🍎市區人文藝廊民宿,46.65,,9房2廳10衛,花蓮市
便宜吉安福興原屋況開放格局三衛優質店住,16.58,,1房2廳3衛,吉安鄉
🔥緊急🔥價格好談了!吉安雙併地大別墅,30.3,,4房2廳2衛,吉安鄉
專任-美崙好停車大坪數3房典雅華廈,17.48,,3房2廳2衛,花蓮市
🏆台灣郁淇推薦#站前輕屋齡電梯大別墅,29.96,,9房2廳10衛,花蓮市
※前站難得車位華廈輕鬆入住~,14.98,,3房2廳2衛,花蓮市
慈濟北昌大面寬別墅(目前為出租套房),37.76,,10房9衛,花蓮市
花蓮後站優質高質感美華廈《有租平面車位》,23.93,,3房2廳2衛,花蓮市
花蓮市德安店面(店住兩用),27.08,,7房3廳3衛,花蓮市
慈濟旁邊間大地坪別墅,31.29,,4房2廳2衛,花蓮市
【吉安聲控高智能科技景觀精品二房(預售),24.92,,2房2廳1衛,吉安鄉
專任🔥後站近慈濟醫院邊間平車🔥大套房,20.13,,1房1廳1衛,花蓮市
花蓮太昌全新雙拼車庫庭院別墅,25.66,,4房2廳5衛,吉安鄉
[晨光]花蓮鳳林大地坪別墅,11.04,,7房3廳4衛,鳳林鎮
美崙薇格春天3+1房平車永慶祥泰推薦,30.38,,3房2廳2衛,花蓮市
北昌人文特區近慈濟稀有獨棟地大別墅,46.22,,5房2廳3衛,花蓮市
❣吉安火車站旁獨棟有庭院 電梯別墅❣,29.05,,5房3廳6衛,吉安鄉
吉安專任❤️小農舍❤️採光通風,21.81,,5房2廳2衛,吉安鄉
【正市區收益型店住二用透天】,29.07,,7房2廳4衛,花蓮市
💝專任委託💝花蓮市北昌學區三房公寓,16.59,,3房2廳2衛,花蓮市
站前全新整理邊間美套房~有陽台~可投資,23.24,,1房1衛,花蓮市
花蓮後火車站美屋/收租自用兩相宜/格局正,24.59,,1房1廳1衛,花蓮市
🍎永慶富國🍎市區東大門近海民宿,49.85,,7房4廳8衛,花蓮市
🍁看好房買好屋🍁花蓮吉安電梯別墅🍁,26.86,,4房3廳5衛,吉安鄉
市中心香榭大道旁精品美三房華廈B110,35.69,,3房2廳2衛,花蓮市
花蓮市中心明星學區精品華廈,35.67,,3房1廳2衛,花蓮市
🍎永慶富國🍎河畔景觀北歐風格華廈,21.53,,3房2廳2衛,花蓮市
台灣小明 有平面車位花商全新華廈,27.12,,2房2廳2衛,花蓮市
專任~市區機能佳鄉村風景觀3房華廈,19.18,,3房2廳2衛,花蓮市
 專售後站稀有釋出美墅,22.92,,4房3廳4衛,花蓮市
降價!降價!建地414坪!農地454坪!,2.28,,4房2廳3衛,吉安鄉
吉安低總價5套房田園山景農舍,39.17,,5房3廳6衛,吉安鄉
台灣找玉如~市區住家890萬,32.67,,3房2廳2衛,花蓮市
🍁看好房買好屋🍁鳳林復古平房🍁,55.28,,開放式格局,鳳林鎮
介林地坪32.9透天別墅,21.9,,5房2廳4衛,花蓮市
🏆台灣郁淇推薦#慈濟前優質大套房,29.45,,1房1衛,花蓮市
鳯林公所旁RC別墅，稀有釋出,12.64,,4房2廳3衛,鳳林鎮
(專)花蓮渡假雙車位透天,24.48,,5房2廳2衛,吉安鄉
南華秀麗山景大農舍-宏宇,31.2,,4房2廳3衛,吉安鄉
🍎永慶富國🍎花蓮七星潭海景網紅民宿,32.23,,13房2廳14衛,花蓮市
吉安南法莊園~大院子農舍,36.6,,3房2廳4衛,吉安鄉
🏆台灣郁淇推薦#花蓮市區邊間美店住,32.8,,4房2廳5衛,花蓮市
🏆台灣郁淇#北昌大坪數三房華廈,21.98,,3房2廳2衛,花蓮市
🏆台灣郁淇推薦#吉安全新預售車位三房,22.91,,3房2廳2衛,吉安鄉
市區寬敞電梯華廈,20.28,,3房2廳2衛,花蓮市
花蓮家樂福旁全新4套房別墅只要1280萬,23.86,,4房2廳5衛,新城鄉
「吉安慶豐」全新2房有裝潢車位華廈,27.85,,2房2廳2衛,吉安鄉
台灣郁淇推薦🏆美崙附小學區三房車位,17.27,,3房2廳2衛,花蓮市
台灣易明 全新花商商圈華廈,28.13,,1房1廳1衛,花蓮市
杜編織美~~~海星校區旁有7-11平房~,28.89,,1房2廳1衛,新城鄉
東華大學學區獨立大套房B100,13.13,,1房1廳1衛,壽豐鄉
 馥邑天下高樓層典雅完美四房平面車位,25.83,,4房4廳3衛,花蓮市
530萬！買電梯兩房！美崙！有保全,23.44,,2房2廳1衛,花蓮市
花蓮市幸福山居全新別墅,28.58,,4房2廳4衛,花蓮市
七腳川溪旁~大坪數別墅,30.33,,4房2廳3衛,吉安鄉
專任✨✨花蓮市美崙最低總價小透天,71.96,,2房2廳2衛,花蓮市
🍎永慶富國🍎福興有孝親房低總價別墅,21.21,,4房2廳3衛,吉安鄉
永慶戴淑萍｜上美崙全新完工面公園車位華廈,33.41,,3房1廳2衛,花蓮市
有房農+建地,1.24,,4房2廳1衛,玉里鎮
花蓮市區中心邊間好停車雙併透天只要8百多,32.47,,3房2廳2衛,花蓮市
老農舍地555坪三角市場果菜市場慈濟學院,51.02,,1房1廳1衛,吉安鄉
後站中山路雙面路車位別墅~,35.09,,5房2廳2衛,花蓮市
🏆台灣郁淇#海景一房一廳車位華廈,22.97,,1房1廳1衛,花蓮市
北昌華廈~優質三房,22,,3房2廳2衛,吉安鄉
(售出)台灣郁淇推薦#吉安車站三房華廈,19.72,,3房2廳2衛,吉安鄉
大降價！專任★吉安別墅【黃昏市場】,24.34,,4房3廳3衛,吉安鄉
🍎吉安寬敞便宜透天！花蓮賣屋四寶媽上慧,25.23,,3房2廳3衛,吉安鄉
市中心金三角超值店面-宏宇,59.33,,開放式格局,花蓮市
上美崙三學區美三房+平面車位,17.35,,3房2廳2衛,花蓮市
(專)花蓮增值透天厝,29.34,,4房2廳2衛,花蓮市
專任-商校頂級雙併民宿-宏宇,31,,5房1廳5衛,花蓮市
花蓮站前全新整理獨立陽台套房B104,24.27,,1房1衛,花蓮市
🏆台灣郁淇推薦#北昌慈濟2房華廈,28.64,,2房1廳1衛,花蓮市
花蓮-壽豐鯉魚潭8套房湖畔美屋U227,61.67,,8房2廳10衛,壽豐鄉
北埔~面寬庭院有景觀好停車透天,19.05,,3房2廳4衛,新城鄉
壽豐月眉頂級電梯崗石別墅莊園-專任,36.24,,6房4廳4衛,壽豐鄉
單身族的家中山公園輕屋齡套房已售出,27.44,,1房1廳1衛,花蓮市
花蓮後站吉美別墅,27.57,,5房2廳3衛,花蓮市
永慶陳韋伶站前商圈小資最愛大套房,21.5,,1房1衛,花蓮市
杜編織美~香榭大道旁南京街溫馨小透天,21.85,,3房2廳2衛,花蓮市
單身族的家中山公園輕屋齡套房已售出,27.44,,1房1廳1衛,花蓮市
專售！後站慈濟生活圈邊間平車大套房,20.13,,1房1廳1衛,花蓮市
